"filename", "language", "XML", "C#", "comment", "blank", "total"
"c:\Users\maxve\repos\school_system\Admin.cs", "C#", 0, 98, 9, 6, 113
"c:\Users\maxve\repos\school_system\Assignment.cs", "C#", 0, 16, 0, 2, 18
"c:\Users\maxve\repos\school_system\Course.cs", "C#", 0, 47, 0, 2, 49
"c:\Users\maxve\repos\school_system\IUser.cs", "C#", 0, 5, 0, 1, 6
"c:\Users\maxve\repos\school_system\Program.cs", "C#", 0, 138, 8, 10, 156
"c:\Users\maxve\repos\school_system\Student.cs", "C#", 0, 16, 0, 1, 17
"c:\Users\maxve\repos\school_system\SystemClass.cs", "C#", 0, 26, 0, 2, 28
"c:\Users\maxve\repos\school_system\Teacher.cs", "C#", 0, 18, 0, 2, 20
"c:\Users\maxve\repos\school_system\User.cs", "C#", 0, 33, 0, 3, 36
"c:\Users\maxve\repos\school_system\Utility.cs", "C#", 0, 46, 0, 5, 51
"c:\Users\maxve\repos\school_system\school_system.csproj", "XML", 8, 0, 0, 3, 11
"Total", "-", 8, 443, 17, 37, 505
